"","Transect","X","Order","Sample","SiteObjectID","Date","Location","Area","Estimate","Biomass","Numbers","Number.Species","Ibi","AdjIbi","Hpi","AdjHpi","Group.1","Group.2","Group.3","Group.4","Include","Flag","Group.3.JDM","fG2.JDM","fG3.JDM","fG4.JDM","Group.4.JDM","Shoreline.Treat.Detail","M1LAT","M1LONG","M2LAT","M2LONG","Mean.Fetch","Time.Period","Temp","Conductivity_0_mid","Do_0_mid","Macrophyte.Density","Transectendnotes","Bedrock","Boulder","Cobble","Rubble","Gravel","Sand","Organic.Silt","Armoustone","LWD","Algae","Proximity.to.river.creek.mouth","Proximity.to.embayment","Transectstartnotes","Habitat.Comments","jdate","Fished","INLA_dist","Nat_5000","Urb_5000","Agr_5000","Wet_5000","For_5000","DomLandCover_5000","DomPercent_5000","Marinas_5000","Rivers_5000","Wetlands_5000","Total_5000","MarinaDist_5000","MarinaArea_5000","MarinaDist_ALL","WetlandDist_5000","WetlandArea_5000","WetlandDist_ALL","RiverDist_5000","RiverStrahler_5000","RiverShreve_5000","RiverDist_ALL","RiverDist_Large","RiverStrahler_Large","RiverShreve_Large","RiverName_Large","ClosestFeature","ClosestDist","NEARSHOREG","NearshoreGeologyCoarse","NearshoreGeologyDetailed","FixedDist","Slope"
"35","CB9",35,73,9680,54,"7/11/2018","OPEN","Cobourg","N",101,10,2,25.0819,0,3.9559,0,"Natural","Beach","Mixed Beach","Mixed Beach",NA,"OK","MixedBeach","Beach","GravelBeach","GravelBeach","Gravel_Cobble_Beach","gravel/cobble beach",43.9578,-78.1316,43.9575,-78.1329,43.8470901,2,14.38,300,13.65,0,"Residential, agricultural, natural shoreline, trees",15,35,35,0,0,15,0,0,0,0,0,0,"Bedrock (15%), boulder (35%), cobble (35%); and sand (15%)","",17723,1,175609,24,33,42,11,12,"Agriculture",42,1,6,0,7,2953,148026,2953,NA,NA,7244,1209,3,7,1209,13813,5,386,"Ganaraska River","Marina",2953,561,"Bedrock (Erosive)","Bedrock (Erosive)",1830.457031,-0.006176519
"36","CHBa",36,205,9931,56,"7/17/2018","OPEN","Cherry Beach","N",180,4,3,39.4426,32.8688,3.6863,3.1747,"Natural","Beach","Sand Beach","Sand Beach",NA,"OK","Sand Beach","Beach","SandBeach","SandBeach","Sand Beach","underwater reef",43.6379,-79.3414,43.6387,-79.3408,3.62788598,2,21.2,NA,NA,2,"Urban beach",0,0,0,0,0,100,0,0,0,0,0,1,"Sand 100%","",17729,1,61775,13,74,13,1,2,"Urban",74,3,1,2,6,884,1713151,884,1373,49446,1373,2926,5,275,2926,2926,5,275,"Don River","Marina",884,541,"Sandy Lake Bed","Sandy",2814.556397,-0.004488024
"37","CHBb",37,206,9932,59,"7/17/2018","OPEN","Cherry Beach","N",9767,5,4,31.8783,28.6464,49.0078,48.2582,"Natural","Beach","Sand Beach","Sand Beach",NA,"OK","Sand Beach","Beach","SandBeach","SandBeach","Sand Beach","underwater reef",43.6387,-79.3408,43.6391,-79.3398,3.62788598,2,21.2,NA,NA,2,"Urban beach",0,0,0,0,0,100,0,0,0,0,0,1,"Sand 100%","",17729,1,61876,12,74,13,1,2,"Urban",74,3,1,2,6,986,1713151,986,1476,49446,1476,3029,5,275,3029,3029,5,275,"Don River","Marina",986,541,"Sandy Lake Bed","Sandy",2843.310303,-0.004451708
"38","CHBc",38,207,9933,62,"7/17/2018","OPEN","Cherry Beach","N",250,5,3,35.666,20.8289,4.5721,2.762,"Natural","Beach","Sand Beach","Sand Beach",NA,"OK","Sand Beach","Beach","SandBeach","SandBeach","Sand Beach","underwater reef",43.6391,-79.3398,43.6391,-79.3386,3.62788598,2,21.2,NA,NA,2,"Urban beach",0,0,0,0,0,100,0,0,0,0,0,1,"Sand 100%","",17729,1,61969,12,74,13,1,2,"Urban",74,3,1,2,6,1012,305803,1012,1543,49446,1543,3096,5,275,3096,3096,5,275,"Don River","Marina",1012,541,"Sandy Lake Bed","Sandy",2824.87207,-0.004487429
"39","CP1",39,92,9699,64,"8/13/2018","OPEN","Carrington Place","N",0,0,0,0,0,0,0,"Mixed","Mixed","Mixed","Mixed",NA,"OK","Mixed","Mixed","Mixed","Mixed","Mixed","armourstone/rubble or concrete revetment and beach",43.47551,-79.62958,43.47618,-79.62869,33.45428416,2,24.06,304,12.47,0,"Residential/urban, beach and armourstone",34,33,33,0,0,0,0,0,0,0,0,0,"Bedrock (34%), boulder (33%), cobble (33%)","CSO at the start of the transect",17756,0,26073,9,83,8,2,6,"Urban",83,1,4,2,7,NA,NA,5294,942,2768,942,942,4,40,942,5246,6,496,"Sixteen Mile Creek","River",942,561,"Bedrock (Erosive)","Bedrock (Erosive)",1707.884766,-0.007627748
"40","CP2",40,93,9700,65,"8/13/2018","OPEN","Carrington Place","N",1441,3,3,54.2984,54.2984,11.7884,11.7884,"Treated","HardShore","HardShore","Revetment",NA,"OK","Mixed","Mixed","Mixed","Mixed","Mixed","armourstone/rubble revetment and groyne",43.47618,-79.62869,43.47686,-79.6278,33.5221506,2,24.06,304,12.47,0,"Residential/urban",34,33,33,0,0,0,0,0,0,0,0,0,"Bedrock (34%), boulder (33%), cobble (33%)","",17756,1,26177,9,83,8,2,6,"Urban",83,0,3,2,5,NA,NA,5408,827,2768,827,827,4,40,827,5361,6,496,"Sixteen Mile Creek","River",827,561,"Bedrock (Erosive)","Bedrock (Erosive)",1712.043091,-0.007714185
"41","CS1a",41,232,9984,66,"7/17/2018","OPEN","Colonel Sam Smith ","N",143,1,1,42.8771,42.8771,2.2154,2.2154,"Treated","HardShore","HardShore","Surcharged Revetment",NA,"OK","HardShore","HardShore","RevSurcharge","RevSurcharge","Surcharged Revetment","surcharged amourstone/rrubble revetments and groyne,  underwater reef",43.58692,-79.51423,43.58695,-79.51216,24.77555984,2,21.31,303,13,0,"Urban, parkland",0,25,0,25,0,0,0,50,0,0,0,0,"Boulder 25%, rubble 25%; ; armourstone 50%","Check on underwater reef?",17729,1,42774,6,90,4,1,2,"Urban",90,3,2,0,5,302,101265,302,NA,NA,7346,2334,5,248,2334,2334,5,248,"Etobicoke Creek","Marina",302,561,"Bedrock (Erosive)","Bedrock (Erosive)",1351.046997,-0.010949425
"42","CS1b",42,233,9985,67,"7/17/2018","OPEN","Colonel Sam Smith ","N",137,5,2,24.7364,0,3.784,0,"Treated","HardShore","HardShore","Surcharged Revetment",NA,"OK","HardShore","HardShore","RevSurcharge","RevSurcharge","Surcharged Revetment","surcharged amourstone/rrubble revetments and groyne,  underwater reef",43.58695,-79.51216,43.58695,-79.50972,28.90528147,2,21.31,303,13,0,"Urban, parkland",0,25,0,25,0,0,0,50,0,0,0,0,"Boulder 25%, rubble 25%; ; armourstone 50%","Check on underwater reef?",17729,1,42942,6,90,4,1,2,"Urban",90,3,2,0,5,482,101265,482,NA,NA,7166,2514,5,248,2514,2514,5,248,"Etobicoke Creek","Marina",482,561,"Bedrock (Erosive)","Bedrock (Erosive)",1136.429688,-0.012697834
"43","CS1c",43,234,9986,68,"7/17/2018","OPEN","Colonel Sam Smith ","N",3627,8,4,40.3954,22.8547,30.1392,20.8281,"Treated","HardShore","HardShore","Surcharged Revetment",NA,"Flag","HardShore","HardShore","RevSurcharge","RevSurcharge","Surcharged Revetment","surcharged amourstone/rrubble revetments and groyne,  underwater reef",43.58695,-79.50972,43.58851,-79.51004,32.86792171,2,21.31,303,13,0,"Urban, parkland",0,25,0,25,0,0,0,50,0,0,0,0,"Boulder 25%, rubble 25%; ; armourstone 50%","Check on underwater reef?",17729,1,43139,7,89,4,1,2,"Urban",89,3,2,0,5,675,101265,675,NA,NA,6974,2706,5,248,2706,2706,5,248,"Etobicoke Creek","Marina",675,561,"Bedrock (Erosive)","Bedrock (Erosive)",1062.757813,-0.013194958
"44","CS2a",44,229,9981,69,"7/17/2018","OPEN","Colonel Sam Smith ","N",4251,25,8,37.4893,22.8668,41.4825,21.7278,"Treated","HardShore","HardShore","Revetment",NA,"OK","Mixed","Mixed","Mixed","Mixed","Mixed","informal rubble placement, sand/cobble/rubble beach",43.59025,-79.51926,43.59031,-79.51798,8.784662935,2,21.22,315,13.77,0,"Urban, parkland",0,25,0,25,0,0,0,50,0,0,0,0,"Boulder 25%, rubble 25%; ; armourstone 50%","Groyne at east end",17729,1,42167,6,90,4,1,3,"Urban",90,3,3,0,6,272,101265,272,NA,NA,7921,2051,5,248,2051,2051,5,248,"Etobicoke Creek","Marina",272,561,"Bedrock (Erosive)","Bedrock (Erosive)",1909.432495,-0.007562207
"45","CS2b",45,230,9982,70,"7/17/2018","OPEN","Colonel Sam Smith ","N",5230,20,7,64.8651,20.2657,47.3489,15.3126,"Treated","HardShore","HardShore","Revetment",NA,"OK","Mixed","Mixed","Mixed","Mixed","Mixed","informal rubble placement, sand/cobble/rubble beach",43.59031,-79.51798,43.58988,-79.51657,5.880439242,2,21.22,315,13.77,0,"Urban, parkland",0,25,0,25,0,0,0,50,0,0,0,0,"Boulder 25%, rubble 25%; ; armourstone 50%","Groyne at east end",17729,1,42271,6,90,4,1,3,"Urban",90,3,2,0,5,230,101265,230,NA,NA,7861,2153,5,248,2153,2153,5,248,"Etobicoke Creek","Marina",230,561,"Bedrock (Erosive)","Bedrock (Erosive)",1837.835815,-0.008044981
"46","CS2c",46,231,9983,71,"7/17/2018","OPEN","Colonel Sam Smith ","N",486,19,5,37.6112,24.8012,12.9979,8.4432,"Treated","HardShore","HardShore","Revetment",NA,"OK","Mixed","Mixed","Mixed","Mixed","Mixed","informal rubble placement, sand/cobble/rubble beach",43.58988,-79.51657,43.58891,-79.5167,1.88000743,2,21.22,315,13.77,0,"Urban, parkland",0,25,0,25,0,0,0,50,0,0,0,0,"Boulder 25%, rubble 25%; ; armourstone 50%","Groyne at east end",17729,1,42394,6,90,4,1,3,"Urban",90,3,2,0,5,120,101265,120,NA,NA,7751,2248,5,248,2248,2248,5,248,"Etobicoke Creek","Marina",120,561,"Bedrock (Erosive)","Bedrock (Erosive)",1754.084229,-0.008452922
"47","DB1a",47,127,9789,73,"8/30/2018","OPEN","Dragon Boat","N",237,5,3,29.4378,25.3762,5.1611,4.5852,"Treated","HardShore","HardShore","Surcharged Revetment",NA,"OK","HardShore","HardShore","RevSurcharge","RevSurcharge","Surcharged Revetment","surcharged armourstone breakwall",43.6299,-79.4353,43.6294,-79.4342,16.16134688,2,16.32,305,12.32,0,"Urban",0,0,0,0,0,0,0,100,0,0,0,0,"Armourstone 100%","",17773,1,52544,9,84,6,2,3,"Urban",84,3,2,1,6,719,64136,719,3369,250361,3369,2892,7,2556,2892,2892,7,2556,"Humber River","Marina",719,572,"Creek / River / Harbour Sediments","Harbour Muds / Silts",1387.028442,-0.008529749
"48","DB1b",48,128,9790,76,"8/30/2018","OPEN","Dragon Boat","N",530,3,2,51.7216,51.7216,7.2478,7.2478,"Treated","HardShore","HardShore","Surcharged Revetment",NA,"OK","HardShore","HardShore","RevSurcharge","RevSurcharge","Surcharged Revetment","surcharged armourstone breakwall",43.6294,-79.4342,43.6291,-79.4333,16.16134688,2,16.32,305,12.32,0,"Urban",0,0,0,0,0,0,0,100,0,0,0,0,"Armourstone 100%","",17773,1,52649,9,84,7,2,3,"Urban",84,3,2,1,6,822,64136,822,3472,250361,3472,2970,7,2556,2970,2970,7,2556,"Humber River","Marina",822,572,"Creek / River / Harbour Sediments","Harbour Muds / Silts",1332.241821,-0.008837051
"49","DB1c",49,129,9791,79,"8/30/2018","OPEN","Dragon Boat","N",0,0,0,0,0,0,0,"Treated","HardShore","HardShore","Surcharged Revetment",NA,"OK","HardShore","HardShore","RevSurcharge","RevSurcharge","Surcharged Revetment","surcharged armourstone breakwall",43.6291,-79.4333,43.6285,-79.4315,16.16134688,2,16.32,305,12.32,0,"Urban",0,0,0,0,0,0,0,100,0,0,0,0,"Armourstone 100%","",17773,0,52729,9,83,7,2,3,"Urban",83,3,2,2,7,894,64136,894,3544,250361,3544,3042,7,2556,3042,3042,7,2556,"Humber River","Marina",894,572,"Creek / River / Harbour Sediments","Harbour Muds / Silts",1276.551514,-0.009186892
"50","DB2a",50,130,9792,82,"8/30/2018","OPEN","Dragon Boat","N",4,1,1,46.9472,46.9472,0.2167,0.2167,"Treated","HardShore","HardShore","Revetment",NA,"OK","HardShore","HardShore","Revetment","Revetment","Revetment","concrete breakwall",43.6289,-79.4272,43.6288,-79.4259,14.99852851,2,16.61,304,12.3,0,"Urban",0,0,0,0,0,100,0,0,0,0,0,0,"Sand 100%","",17773,1,53222,9,83,7,1,3,"Urban",83,3,2,2,7,1404,64136,1404,4054,250361,4054,3552,7,2556,3552,3552,7,2556,"Humber River","Marina",1404,572,"Creek / River / Harbour Sediments","Harbour Muds / Silts",1242.753174,-0.009224493
"51","DB2b",51,131,9793,85,"8/30/2018","OPEN","Dragon Boat","N",1040,3,2,53.0139,17.8752,8.4386,0.4334,"Treated","HardShore","HardShore","Surcharged Revetment",NA,"OK","HardShore","HardShore","RevSurcharge","RevSurcharge","Surcharged Revetment","concrete breakwall",43.6288,-79.4259,43.6288,-79.4245,14.99852851,2,16.61,304,12.3,0,"Urban",0,0,0,0,0,50,0,50,0,0,0,0,"Sand 50%, armourstone 50%","",17773,1,53328,9,83,7,1,3,"Urban",83,2,2,2,6,1494,64136,1494,4144,250361,4144,3642,7,2556,3642,3642,7,2556,"Humber River","Marina",1494,572,"Creek / River / Harbour Sediments","Harbour Muds / Silts",1249.879028,-0.009303636
"52","DB2c",52,132,9794,88,"8/30/2018","OPEN","Dragon Boat","B",207.9,6,6,66.5217,60.8327,4.5755,4.4928,"Treated","HardShore","HardShore","Revetment",NA,"Flag","HardShore","HardShore","Revetment","Revetment","Revetment","concrete breakwall",43.6288,-79.4245,43.6289,-79.4232,14.99852851,2,16.61,304,12.3,0,"Urban",0,0,0,0,0,100,0,0,0,0,0,0,"Sand 100%","",17773,1,53441,9,83,7,1,3,"Urban",83,2,2,2,6,1614,64136,1614,4264,250361,4264,3762,7,2556,3762,3762,7,2556,"Humber River","Marina",1614,572,"Creek / River / Harbour Sediments","Harbour Muds / Silts",1271.582275,-0.009270917
"53","EB1a",53,154,9870,91,"7/25/2018","OPEN","Eastern beaches","N",210,12,1,22.2222,0,6.7864,0,"Treated","Groynes","Non-surcharged Groyne","Non-surcharged Groyne",NA,"OK","Non-surcharged Groyne","Groyne","Groyne","NonSurchargedGroyne","Non-surcharged Groyne","groynes and sand beach",43.6699,-79.2829,43.6704,-79.2816,12.68065265,2,22,310,9.39,0,"Urban beach",0,0,0,0,10,70,0,20,0,0,0,0,"Sand 70%, gravel 10%, armourstone 20%","",17737,1,73851,7,88,5,0,5,"Urban",88,1,0,0,1,3098,173298,3098,NA,NA,10897,NA,NA,NA,13425,13425,5,275,"Don River","Marina",3098,541,"Sandy Lake Bed","Sandy",3123.219482,-0.004145356
"54","EB1b",54,155,9871,94,"7/25/2018","OPEN","Eastern beaches","N",203,16,3,38.2156,14.6368,7.1468,2.4357,"Treated","Groynes","Non-surcharged Groyne","Non-surcharged Groyne",NA,"OK","Non-surcharged Groyne","Groyne","Groyne","NonSurchargedGroyne","Non-surcharged Groyne","groynes and sand beach",43.6704,-79.2816,43.6709,-79.2804,12.68065265,2,22,310,21.95,0,"Urban beach",0,0,0,0,10,70,0,20,0,0,0,0,"Sand 70%, gravel 10%, armourstone 20%","",17737,1,73970,7,88,5,0,5,"Urban",88,1,0,0,1,3213,173298,3213,NA,NA,10994,NA,NA,NA,13522,13522,5,275,"Don River","Marina",3213,541,"Sandy Lake Bed","Sandy",3125.69751,-0.004154039
"55","EB1c",55,156,9872,97,"7/25/2018","OPEN","Eastern beaches","N",67,3,1,22.2222,0,1.988,0,"Treated","Groynes","Non-surcharged Groyne","Non-surcharged Groyne",NA,"OK","Non-surcharged Groyne","Groyne","Groyne","NonSurchargedGroyne","Non-surcharged Groyne","groynes and sand beach",43.6709,-79.2804,43.6711,-79.2796,12.68065265,2,22,310,9.39,0,"Urban beach",0,0,0,0,10,70,0,20,0,0,0,0,"Sand 70%, gravel 10%, armourstone 20%","",17737,1,74082,7,88,5,0,5,"Urban",88,1,0,0,1,3328,173298,3328,NA,NA,11092,NA,NA,NA,13619,13619,5,275,"Don River","Marina",3328,541,"Sandy Lake Bed","Sandy",3113.825195,-0.004179669
"56","EB2a",56,157,9873,100,"7/25/2018","OPEN","Eastern beaches","N",560,12,3,38.7087,22.3036,11.4109,6.9344,"Treated","HardShore","HardShore","Revetment",NA,"OK","Mixed Beach","Beach","MixedBeach","MixedBeach","Mixed Beach","informal rubble placement, sand/cobble/rubble beach ",43.6654,-79.2984,43.6652,-79.2971,35.89080362,2,22,310,9.39,0,"Urban beach",0,50,0,50,0,0,0,0,0,0,0,0,"50% boulder; 50% rubble","Eastern beaches lifeguard station",17737,1,72484,8,85,7,0,5,"Urban",85,2,1,0,3,1953,173298,1953,NA,NA,9787,NA,NA,NA,12315,12315,5,275,"Don River","Marina",1953,541,"Sandy Lake Bed","Sandy",3286.260986,-0.003936863
"57","EB2b",57,158,9874,103,"7/25/2018","OPEN","Eastern beaches","N",1322,26,3,34.9746,12.0974,24.9974,8.8757,"Treated","HardShore","HardShore","Revetment",NA,"OK","Mixed Beach","Beach","MixedBeach","MixedBeach","Mixed Beach","informal rubble placement, sand/cobble/rubble beach",43.6652,-79.2971,43.6656,-79.296,35.89080362,2,22,310,9.39,0,"Urban beach",0,50,0,50,0,0,0,0,0,0,0,0,"50% boulder; 50% rubble","Eastern beaches lifeguard station",17737,1,72591,8,85,7,0,5,"Urban",85,2,1,0,3,1973,173298,1973,NA,NA,9807,NA,NA,NA,12335,12335,5,275,"Don River","Marina",1973,541,"Sandy Lake Bed","Sandy",3234.47583,-0.003971175
"58","EB2c",58,159,9875,106,"7/25/2018","OPEN","Eastern beaches","N",222,12,2,30.3722,4.9594,6.8562,0.8152,"Treated","HardShore","HardShore","Revetment",NA,"OK","Mixed","Mixed","Mixed","Mixed","Mixed","informal rubble placement, sand/cobble/rubble beach",43.6656,-79.296,43.666,-79.2948,35.89080362,2,22,310,9.39,0,"Urban beach",0,50,0,50,0,0,0,0,0,0,0,0,"50% boulder; 50% rubble","Eastern beaches lifeguard station",17737,1,72691,8,85,7,0,5,"Urban",85,2,0,0,2,2070,173298,2070,NA,NA,9904,NA,NA,NA,12432,12432,5,275,"Don River","Marina",2070,541,"Sandy Lake Bed","Sandy",3215.353516,-0.003974565
"59","FB1a",59,235,9990,109,"7/24/2018","OPEN","Frenchman's Bay","N",3500,2,2,51.875,51.875,22.1997,22.1997,"Mixed","Mixed","Mixed","Mixed",NA,"OK","Mixed","Mixed","Mixed","Mixed","Mixed","surcharged armourstone/rubble revetment, underwater reef, log tangles",43.81062,-79.08535,43.81136,-79.08548,21.20640309,2,24.56,313,9.01,0,"Sand beach adjacent to canal entrance to FMB west",0,50,0,0,0,50,0,0,0,0,0,1,"Sand 50%; boulder 50%","",17736,1,97081,19,69,12,7,9,"Urban",69,1,5,4,10,205,641166,205,842,242863,842,235,4,32,235,3130,6,454,"Rouge River","Marina",205,572,"Creek / River / Harbour Sediments","Harbour Muds / Silts",2366.406738,-0.004903599
"60","FB1b",60,236,9991,112,"7/24/2018","OPEN","Frenchman's Bay","N",1936,7,3,42.1575,38.8741,21.9112,21.1981,"Mixed","Mixed","Mixed","Mixed",NA,"OK","Mixed","Mixed","Mixed","Mixed","Mixed","surcharged armourstone/rubble revetment, underwater reef, log tangles",43.81136,-79.08548,43.8119,-79.08452,21.20640309,2,24.56,313,9.01,0,"Sand beach adjacent to canal entrance to FMB west",0,50,0,0,0,50,0,0,0,0,0,1,"Sand 50%; boulder 50%","",17736,1,97164,19,69,12,7,9,"Urban",69,1,5,4,10,145,641166,145,782,242863,782,175,4,32,175,3173,6,454,"Rouge River","Marina",145,572,"Creek / River / Harbour Sediments","Harbour Muds / Silts",2419.049805,-0.004796745
"61","FB2a",61,237,9995,37,"7/24/2018","OPEN","Frenchman's Bay","N",174,138,3,54.8709,45.8011,12.2837,10.7664,"Mixed","Mixed","Mixed","Hardshore/beach",NA,"Add","Surcharged groyne","Groyne","Groyne","SurchargedGroyne","Groynes/Mixed beach","surcharged armourstone/rubble revetment, underwater reef, log tangles",43.8103,-79.0864,43.8112,-79.0866,23.5686,2,24.57,313,9.01,0,"Sand beach adjacent to canal entrance to FMB east",0,50,0,0,0,50,0,0,0,0,0,1,"Sand 50%; boulder 50%","",17736,1,96990,19,69,12,6,9,"Urban",69,1,5,4,10,247,641166,247,885,242863,885,277,4,32,277,3045,6,454,"Rouge River","Marina",247,572,"Creek / River / Harbour Sediments","Harbour Muds / Silts",2372.072266,-0.00491103
"62","FB2b",62,238,9996,120,"7/24/2018","OPEN","Frenchman's Bay","N",3072.5,17,7,63.3322,55.0775,32.2433,29.8163,"Mixed","Mixed","Mixed","Mixed",NA,"OK","Mixed","Mixed","Mixed","Mixed","Mixed","surcharged armourstone/rubble revetment, underwater reef, log tangles",43.8112,-79.0866,43.8121,-79.0873,23.4901521,2,24.57,313,9.01,0,"Sand beach adjacent to canal entrance to FMB east",0,50,0,0,0,50,0,0,0,0,0,1,"Sand 50%; boulder 50%","",17736,1,96898,19,69,12,7,9,"Urban",69,1,5,4,10,145,641166,145,782,242863,782,175,4,32,175,3053,6,454,"Rouge River","Marina",145,572,"Creek / River / Harbour Sediments","Harbour Muds / Silts",2471.27832,-0.004728136
"63","FB2c",63,239,9997,123,"7/24/2018","OPEN","Frenchman's Bay","N",3151,4,2,50.3826,6.3058,24.3752,0.088,"Mixed","Mixed","Mixed","Mixed",NA,"OK","Sand Beach","Beach","SandBeach","SandBeach","Sand Beach","xxxxx",43.8121,-79.0873,43.8117,-79.0896,23.4901521,2,24.57,313,9.01,0,"Sand beach adjacent to canal entrance to FMB east",0,50,0,0,0,50,0,0,0,0,0,1,"Sand 50%; boulder 50%","",17736,1,96774,19,68,12,7,9,"Urban",68,1,5,4,10,60,641166,60,680,242863,680,72,4,32,72,3077,6,454,"Rouge River","Marina",60,533,"Cobble / Boulder Lag Over Cohesive","Cobble Boulder Lag, Thin Lag (< 50 m3/m)",2542.999756,-0.004639461
"64","HB1a",64,223,9975,125,"7/17/2018","OPEN","Humber Bay","N",501,14,2,45.0701,22.2106,7.2107,4.7211,"Treated","HardShore","HardShore","Revetment",NA,"OK","HardShore","HardShore","Revetment","Revetment","Revetment","armourstone/rubble revetment",43.62233,-79.472,43.62245,-79.47083,17.67023995,2,15.02,333,13.05,0,"Urban; park headland",0,0,0,0,0,0,0,100,0,0,0,0,"100 % armourstone/rubble","Need to confirm differences between rubble and armourstone",17729,1,48306,7,86,6,1,4,"Urban",86,2,2,1,5,1941,202304,1941,1796,250361,1796,537,4,40,537,1312,7,2556,"Humber River","River",537,561,"Bedrock (Erosive)","Bedrock (Erosive)",1251.93042,-0.008922871
"65","HB1b",65,224,9976,127,"7/17/2018","OPEN","Humber Bay","N",1407,6,4,31.4074,4.4812,13.2861,2.4505,"Treated","HardShore","HardShore","Revetment",NA,"OK","HardShore","HardShore","Revetment","Revetment","Revetment","armourstone/rubble revetment",43.62245,-79.47083,43.6224,-79.46919,19.06858162,2,15.02,333,13.05,0,"Urban; park headland",0,0,0,0,0,0,0,100,0,0,0,0,"100 % armourstone/rubble","Need to confirm differences between rubble and armourstone",17729,1,48401,7,86,6,1,4,"Urban",86,2,2,1,5,2008,202304,2008,1694,250361,1694,604,4,40,604,1209,7,2556,"Humber River","River",604,561,"Bedrock (Erosive)","Bedrock (Erosive)",1213.637085,-0.0092481
"66","HB1c",66,225,9977,129,"7/17/2018","OPEN","Humber Bay","N",141,1,1,42.8757,42.8757,2.1952,2.1952,"Treated","HardShore","HardShore","Revetment",NA,"OK","HardShore","HardShore","Revetment","Revetment","Revetment","armourstone/rubble revetment",43.6224,-79.46919,43.62375,-79.46976,19.06858162,2,15.02,333,13.05,0,"Urban; park headland",0,0,0,0,0,0,0,100,0,0,0,0,"100 % armourstone/rubble","Need to confirm differences between rubble and armourstone",17729,1,48534,8,86,6,1,4,"Urban",86,2,2,1,5,2070,202304,2070,1561,250361,1561,666,4,40,666,1077,7,2556,"Humber River","River",666,561,"Bedrock (Erosive)","Bedrock (Erosive)",1265.236816,-0.008969038
"67","HB2a",67,226,9978,130,"7/18/2018","OPEN","Humber Bay","N",860,4,2,44.625,38.8653,10.7012,10.3894,"Treated","HardShore","HardShore","Revetment",NA,"OK","HardShore","HardShore","Revetment","Revetment","Revetment","armourstone/rubble revetment",43.62409,-79.46986,43.62477,-79.47001,11.52213679,2,15.02,333,13.05,2,"Urban; park headland",0,0,0,0,0,25,25,50,0,0,0,0,"Armourstone/rubble 50%; silt 25%; sand 25%","",17730,1,48729,7,87,5,1,4,"Urban",87,2,2,1,5,2288,202304,2288,1344,250361,1344,860,7,2556,860,860,7,2556,"Humber River","River",860,561,"Bedrock (Erosive)","Bedrock (Erosive)",1407.222412,-0.008141298
"68","HB2b",68,227,9979,131,"7/18/2018","OPEN","Humber Bay","N",6043,7,4,47.3456,43.858,41.2358,40.4862,"Treated","HardShore","HardShore","Revetment",NA,"OK","HardShore","HardShore","Revetment","Revetment","Revetment","armourstone/rubble revetment",43.62477,-79.47001,43.62544,-79.47083,12.29754457,2,15.02,333,13.08,2,"Urban; park headland",0,0,0,0,0,25,25,50,0,0,0,0,"Armourstone/rubble 50%; silt 25%; sand 25%","",17730,1,48806,7,87,5,1,4,"Urban",87,2,2,1,5,2378,202304,2378,1254,250361,1254,770,7,2556,770,770,7,2556,"Humber River","River",770,561,"Bedrock (Erosive)","Bedrock (Erosive)",1483.697998,-0.007744094
"69","HB2c",69,228,9980,132,"7/18/2018","OPEN","Humber Bay","N",3308,12,2,35.5177,21.0819,30.1342,24.0359,"Treated","HardShore","HardShore","Revetment",NA,"OK","Mixed","Mixed","Mixed","Mixed","Mixed","armourstone/rubble revetment, cobble beach",43.62544,-79.47083,43.62548,-79.47204,4.45421163,2,15.02,333,13.08,2,"Urban; park headland",0,0,0,0,0,25,25,50,0,0,0,0,"Armourstone/rubble 50%; silt 25%; sand 25%","",17730,1,48906,7,87,5,1,4,"Urban",87,2,2,1,5,2492,202304,2492,1157,250361,1157,672,7,2556,672,672,7,2556,"Humber River","River",672,561,"Bedrock (Erosive)","Bedrock (Erosive)",1544.104614,-0.007439129
"70","HB3a",70,214,9960,134,"7/18/2018","OPEN","Humber Bay","N",165,49,1,46.2257,0,9.4933,0,"Treated","HardShore","HardShore","Revetment",NA,"OK","Surcharged groyne","Groyne","Groyne","SurchargedGroyne","BeachHeadland","xxxxx",43.62912,-79.47393,43.6294,-79.47306,9.300884997,2,13.5,NA,NA,0,"Urban; waterfront trail",0,0,0,0,0,50,0,50,0,0,0,0,"Sand 50%; 50% armourstone","",17730,1,49386,7,88,5,1,4,"Urban",88,2,2,1,5,2823,64136,2823,871,250361,871,387,7,2556,387,387,7,2556,"Humber River","River",387,561,"Bedrock (Erosive)","Bedrock (Erosive)",1968.897827,-0.005947037
"71","HB3b",71,215,9961,137,"7/18/2018","OPEN","Humber Bay","N",188,39,3,47.5146,1.9765,9.5254,0.3548,"Treated","HardShore","HardShore","Revetment",NA,"Flag","Mixed","Mixed","Mixed","Mixed","Mixed","informal rubble placement, sand/cobble/rubble beach",43.6294,-79.47306,43.62999,-79.47235,9.300884997,2,13.5,NA,NA,0,"Urban; waterfront trail",0,0,0,0,0,50,0,50,0,0,0,0,"Sand 50%; 50% armourstone","",17730,1,49463,7,88,5,1,4,"Urban",88,2,2,1,5,2751,64136,2751,799,250361,799,315,7,2556,315,315,7,2556,"Humber River","River",315,561,"Bedrock (Erosive)","Bedrock (Erosive)",1986.233154,-0.005901705
